date,rtgs_vol,rtgs_val,neft_vol,neft_val,aeps_vol,aeps_val,upi_vol,upi_val,imps_vol,imps_val,nach_credit_vol,nach_credit_val,nach_debit_vol,nach_debit_val,netc_vol,netc_val,bbps_vol,bbps_val,cts_vol,cts_val,credit_pos_vol,credit_pos_val,credit_ecom_vol,credit_ecom_val,debit_pos_vol,debit_pos_val,debit_ecom_vol,debit_ecom_val,ppi_pos_vol,ppi_pos_val,ppi_ecom_vol,ppi_ecom_val,credit_combined_vol,credit_combined_val,debit_combined_vol,debit_combined_val,ppi_combined_vol,ppi_combined_val,nfs_vol,nfs_val,aeps_bc_vol,aeps_bc_val,gov_sec_vol,gov_sec_val,forex_vol,forex_val,rupee_der_vol,rupee_der_val
2020-06-01,4.85,436996.69,172.11,104275.13,0.43618,7.6822045,476.9671,10413.108974581,76.80648,9072.5546784,84.86,6326.17,20.12,2084.74,23.82175,44.3673669,5.43,95.36,17.5486,15056.2426,,,,,,,,,,,,,,,,,,,105.8184,4764.812,29.01883,696.5611792,,,,,,
2020-06-02,4.5434,361878.87153189996,100.06772,65259.016107983,0.44138,7.6655157,476.78182,9951.298586321001,72.24891,8215.4127473,143.33,14387.49,63.13,3613.36,24.3803,46.225374,5.21,81.15,18.25,16041.190345467969,,,,,,,,,,,,,,,,,,,105.13086999999999,4781.9746627,28.29832,676.7526225,,,,,,
2020-06-03,4.30157,330632.89225813,100.36426,62985.7501912,0.43951999999999997,7.4760377,456.2593,9622.375213469999,68.14805,7653.7075928,40.66,2985.88,38.46,2288.95,25.36248,47.2130571,5.24,81.36,16.76,14536.47,,,,,,,,,,,,,,,,,,,99.48995000000001,4426.9155517,28.85204,668.8848482,,,,,,
2020-06-04,4.35152,329072.447410464,94.65655,63148.288624729,0.44828,7.3238377,463.04959,9639.502868508001,70.68543,7705.8933417,286.04,5113.36,37.8,3592.44,25.80935,48.3890647,5.51,83.05,17.39,14865.92,,,,,,,,,,,,,,,,,,,101.38002,4424.531823699999,29.56756,648.9226386,,,,,,
2020-06-05,4.56267,365468.95198416803,111.26259,68932.71859959996,0.47535,7.3247942,464.79398,9539.524729484,72.99507,7705.2455264,70.96000000000001,3166.1,88.48,9558.57,25.99207,48.6014335,5.33,85.94,18.25,15214.06,,,,,,,,,,,,,,,,,,,101.1915,4321.009310799999,32.65205,646.9891603,,,,,,
2020-06-06,3.78611,111618.21589553005,77.05,60118.058427999,0.53671,7.7088396999999995,458.64927,9119.199541725,70.34825,7076.0349865,55.08,3528.0299999999997,20.46,2336.25,26.73776,49.4765071,5.71,88.65,17.56,13210.67,,,,,,,,,,,,,,,,,,,106.47383,4539.7271968000005,41.60888,722.7227642,,,,,,
2020-06-07,H,H,8.35691,2651.293169973998,0.43795,5.5799212,427.25912,6874.997300074,54.24646,4350.2458874,H,H,H,H,25.20205,48.2508314,4.56,58.07,H,H,,,,,,,,,,,,,,,,,,,88.96773,3389.1164795,29.38402,474.4466775,,,,,,
2020-06-08,5.32742,343217.527374,121.32275,68564.974782107,0.6168899999999999,8.2091203,469.99287,10062.170486206,71.29805,8143.1935342,97.13,3183.71,76.62,5137.65,26.14177,46.3451478,6.14,102.27,20.45,14905.54,,,,,,,,,,,,,,,,,,,109.95743,4663.918435199999,50.39572,811.1880748,,,,,,
2020-06-09,4.94615,295808.236909277,95.19347,68888.077189603,0.63,8.43,466.98338,9786.85765725,69.54556,7725.2530231,153.41,3759.64,14.01,1632.16,26.66894,48.4505819,6.11339,97.2470552,20.46,16020.33,,,,,,,,,,,,,,,,,,,109.50986,4612.7882091,53.09,844.86,,,,,,
2020-06-10,4.78815,332717.289048564,87.89294,63676.185441364,0.6920499999999999,9.1144115,461.58058,9839.410284040001,69.47982,7650.1988047,60.69,9100.73,80.53,8699.34,28.47821,51.2665269,6.09325,100.785676677,21.4,16443.04,,,,,,,,,,,,,,,,,,,109.86655999999999,4616.1777241,49.40113,813.2915446,,,,,,
